region	XYcellid	X:X	Y:Y	celltypes	efact
reg1	432__1236	432	1236	CD4T	1
reg1	462__1107.5	462	1107.5	CD4T	1
reg1	767__590.5	767	590.5	CD4T	1
reg1	769.5__1118.5	769.5	1118.5	CD4T	1
reg1	775.5__581.5	775.5	581.5	CD4T	1
reg1	782__392	782	392	CD4T	1
reg1	811__1458.5	811	1458.5	CD4T	1
reg1	823__1455	823	1455	CD4T	1
reg1	825__1415	825	1415	CD4T	1
reg1	833__469.5	833	469.5	CD4T	1
reg1	835.5__1397.5	835.5	1397.5	CD4T	1
reg1	852__566	852	566	CD4T	1
reg1	855__549	855	549	CD4T	1
reg1	970.5__1235	970.5	1235	CD4T	1
reg1	1013__786	1013	786	CD4T	1
reg1	1075__400	1075	400	CD4T	1
reg1	1151__1718	1151	1718	CD4T	1
reg1	1258.5__1679	1258.5	1679	CD4T	1
reg1	1351__1557	1351	1557	CD4T	1
reg1	1378.5__1436.5	1378.5	1436.5	CD4T	1
reg1	417__1255	417	1255	Treg	1
reg1	430.5__1266.5	430.5	1266.5	Treg	1
reg1	452.5__1270.5	452.5	1270.5	Treg	1
reg1	458.5__1290.5	458.5	1290.5	Treg	1
reg1	471__1223.5	471	1223.5	Treg	1
reg1	478__1384.5	478	1384.5	Treg	1
reg1	484__1238.5	484	1238.5	Treg	1
reg1	486__1019.5	486	1019.5	Treg	1
reg1	494.5__667.5	494.5	667.5	Treg	1
reg1	516__1412.5	516	1412.5	Treg	1
reg1	537__1401.5	537	1401.5	Treg	1
reg1	550__1427	550	1427	Treg	1
reg1	567__1304	567	1304	Treg	1
reg1	579__1273	579	1273	Treg	1
reg1	587.5__1343	587.5	1343	Treg	1
reg1	591__925.5	591	925.5	Treg	1
reg1	594__518.5	594	518.5	Treg	1
reg1	650__564.5	650	564.5	Treg	1
reg1	652.5__525	652.5	525	Treg	1
reg1	655__588.5	655	588.5	Treg	1
reg1	664__1322	664	1322	Treg	1
reg1	679.5__1320	679.5	1320	Treg	1
reg1	696.5__478.5	696.5	478.5	Treg	1
reg1	699__1168	699	1168	Treg	1
reg1	699.5__614	699.5	614	Treg	1
reg1	716__1430.5	716	1430.5	Treg	1
reg1	722.5__1554	722.5	1554	Treg	1
reg1	728__491.5	728	491.5	Treg	1
reg1	728.5__667.5	728.5	667.5	Treg	1
reg1	746.5__1487	746.5	1487	Treg	1
reg1	748.5__489.5	748.5	489.5	Treg	1
reg1	750__390.5	750	390.5	Treg	1
reg1	753.5__1255	753.5	1255	Treg	1
reg1	754__417	754	417	Treg	1
reg1	768.5__1440	768.5	1440	Treg	1
reg1	773__1501.5	773	1501.5	Treg	1
reg1	785.5__557.5	785.5	557.5	Treg	1
reg1	790__1116.5	790	1116.5	Treg	1
reg1	791.5__1458	791.5	1458	Treg	1
reg1	796__650	796	650	Treg	1
reg1	809__1535.5	809	1535.5	Treg	1
reg1	822__1437	822	1437	Treg	1
reg1	828.5__597	828.5	597	Treg	1
reg1	830__560	830	560	Treg	1
reg1	831.5__1692.5	831.5	1692.5	Treg	1
reg1	844__1218	844	1218	Treg	1
reg1	862.5__409.5	862.5	409.5	Treg	1
reg1	866.5__1214	866.5	1214	CD8T	1
reg1	866.5__1410	866.5	1410	CD8T	1
reg1	874__1352.5	874	1352.5	CD8T	1
reg1	886__593	886	593	CD8T	1
reg1	892__1359.5	892	1359.5	CD8T	1
reg1	897__422.5	897	422.5	CD8T	1
reg1	906__1327	906	1327	CD8T	1
reg1	912.5__1340	912.5	1340	CD8T	1
reg1	931__1375	931	1375	CD8T	1
reg1	935.5__535	935.5	535	CD8T	1
reg1	957__882.5	957	882.5	CD8T	1
reg1	978__1713	978	1713	CD8T	1
reg1	1046__1674	1046	1674	CD8T	1
reg1	1052__1695.5	1052	1695.5	CD8T	1
reg1	1066__805	1066	805	CD8T	1
reg1	1071.5__1680	1071.5	1680	CD8T	1
reg1	1076__1580	1076	1580	CD8T	1
reg1	1079.5__560	1079.5	560	CD8T	1
reg1	1087__1698	1087	1698	CD8T	1
reg1	1087.5__1677.5	1087.5	1677.5	CD8T	1
reg1	1101.5__684.5	1101.5	684.5	CD8T	1
reg1	1105.5__1678.5	1105.5	1678.5	CD8T	1
reg1	1134.5__1674.5	1134.5	1674.5	CD8T	1
reg1	1161.5__1612	1161.5	1612	CD8T	1
reg1	1173.5__1594	1173.5	1594	CD8T	1
reg1	1177.5__477.5	1177.5	477.5	CD8T	1
reg1	1200__1693	1200	1693	CD8T	1
reg1	1210.5__1712.5	1210.5	1712.5	CD8T	1
reg1	1215.5__1693	1215.5	1693	CD8T	1
reg1	1217__1556	1217	1556	CD8T	1
reg1	1217.5__1664	1217.5	1664	CD8T	1
reg1	1226__1535.5	1226	1535.5	CD8T	1
reg1	1228__1627	1228	1627	CD8T	1
reg1	1230.5__821	1230.5	821	CD8T	1
reg1	1270.5__1520	1270.5	1520	CD8T	1
reg1	1277__1627	1277	1627	CD8T	1
reg1	1285.5__1526	1285.5	1526	CD8T	1
reg1	1317.5__886	1317.5	886	CD8T	1
reg1	1329.5__1566	1329.5	1566	CD8T	1
reg1	1335__1381	1335	1381	CD8T	1
reg1	1352__1366.5	1352	1366.5	CD8T	1
reg1	1363.5__1356.5	1363.5	1356.5	CD8T	1
reg1	1380__1460	1380	1460	CD8T	1
reg1	1425__1331.5	1425	1331.5	CD8T	1
reg1	1454__1452	1454	1452	CD8T	1
reg1	1476.5__1338.5	1476.5	1338.5	CD8T	1
reg1	1486.5__1316	1486.5	1316	CD8T	1
reg1	1520__1389	1520	1389	CD8T	1
reg1	1536.5__1456	1536.5	1456	CD8T	1
reg1	1599__1521.5	1599	1521.5	CD8T	1
reg1	398__1146.5	398	1146.5	Tumor	1
reg1	403__1173	403	1173	Tumor	1
reg1	422.5__1077	422.5	1077	Tumor	1
reg1	422.5__1282	422.5	1282	Tumor	1
reg1	447__1071.5	447	1071.5	Tumor	1
reg1	465.5__1137.5	465.5	1137.5	Tumor	1
reg1	479__976.5	479	976.5	Tumor	1
reg1	500__1376	500	1376	Tumor	1
reg1	504__980	504	980	Tumor	1
reg1	518__1046	518	1046	Tumor	1
reg1	522__910	522	910	Tumor	1
reg1	530__1158.5	530	1158.5	Tumor	1
reg1	551.5__929	551.5	929	Tumor	1
reg1	564.5__916	564.5	916	Tumor	1
reg1	565.5__1394	565.5	1394	Tumor	1
reg1	612__929.5	612	929.5	Tumor	1
reg1	625.5__1557	625.5	1557	Tumor	1
reg1	629__534	629	534	Tumor	1
reg1	643.5__948.5	643.5	948.5	Tumor	1
reg1	643.5__1249	643.5	1249	Tumor	1
reg1	648.5__930.5	648.5	930.5	Tumor	1
reg1	649__476	649	476	Tumor	1
reg1	663.5__1293	663.5	1293	Tumor	1
reg1	665__1155	665	1155	Tumor	1
reg1	670__1072	670	1072	Tumor	1
reg1	670.5__1229.5	670.5	1229.5	Tumor	1
reg1	674__1349	674	1349	Tumor	1
reg1	682.5__1401	682.5	1401	Tumor	1
reg1	682.5__1428.5	682.5	1428.5	Tumor	1
reg1	691__1337	691	1337	Tumor	1
reg1	693.5__635	693.5	635	Tumor	1
reg1	702.5__1103	702.5	1103	Tumor	1
reg1	704.5__1133	704.5	1133	Tumor	1
reg1	705.5__534	705.5	534	Tumor	1
reg1	706.5__1362.5	706.5	1362.5	Tumor	1
reg1	709__636.5	709	636.5	Tumor	1
reg1	710__1465.5	710	1465.5	Tumor	1
reg1	711__567.5	711	567.5	Tumor	1
reg1	716__596.5	716	596.5	Tumor	1
reg1	719__1114.5	719	1114.5	Tumor	1
reg1	719.5__1150.5	719.5	1150.5	Tumor	1
reg1	722__521.5	722	521.5	Tumor	1
reg1	724__1269	724	1269	Tumor	1
reg1	725__1092.5	725	1092.5	Tumor	1
reg1	726.5__1137	726.5	1137	Tumor	1
reg1	729.5__413.5	729.5	413.5	Tumor	1
reg1	737.5__1579.5	737.5	1579.5	Tumor	1
reg1	748__1461	748	1461	Tumor	1
reg1	757__1418	757	1418	Tumor	1
reg1	760__698	760	698	Tumor	1
reg1	760.5__1575	760.5	1575	Tumor	1
reg1	766.5__549.5	766.5	549.5	Tumor	1
reg1	770__1462.5	770	1462.5	Tumor	1
reg1	772__950.5	772	950.5	Tumor	1
reg1	779__668.5	779	668.5	Tumor	1
reg1	779.5__646.5	779.5	646.5	Tumor	1
reg1	780__604.5	780	604.5	Tumor	1
reg1	783__336.5	783	336.5	Tumor	1
reg1	784__1042.5	784	1042.5	Tumor	1
reg1	786.5__372.5	786.5	372.5	Tumor	1
reg1	787__1546.5	787	1546.5	Tumor	1
reg1	793__444	793	444	Tumor	1
reg1	793__491	793	491	Tumor	1
reg1	795.5__345	795.5	345	Tumor	1
reg1	800__415	800	415	Tumor	1
reg1	811__555	811	555	Tumor	1
reg1	811__1359.5	811	1359.5	Tumor	1
reg1	820.5__1544	820.5	1544	Tumor	1
reg1	824__491	824	491	Tumor	1
reg1	825__1048	825	1048	Tumor	1
reg1	829.5__1613	829.5	1613	Tumor	1
reg1	830__390	830	390	Tumor	1
reg1	830.5__652.5	830.5	652.5	Tumor	1
reg1	840__1016	840	1016	Tumor	1
reg1	840.5__1570	840.5	1570	Tumor	1
