Groups	cell_left	cell_mid	cell_right	N_mid	N_tot	ratio_mean	quant	mean_rand	sd_rand	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
1	Bcell	Bcell	CD4T	588	8511	1.77599659478726	100	0.995743027146741	0.0405931654816389	0.917637157918909	0.936387263236013	0.96738220007103	0.992499547075178	1.01923410725815	1.06551637165044	1.09039673027808
1	Bcell	CD4T	CD4T	1056	8511	0.870696930320002	0	0.999037978348757	0.027158655473602	0.949225730939487	0.960996003750244	0.980775711071737	0.996916706880675	1.01380240432955	1.04528357407868	1.07388010255412
1	Bcell	CD8T	CD4T	1157	8511	0.911147019209962	0	1.00217466060923	0.0273183368009525	0.946602954853792	0.95782440637736	0.981806524524494	0.999731612988486	1.0191781507055	1.04854246110919	1.05814081417434
1	Bcell	Macrophage	CD4T	814	8511	1.00058272716893	55	0.998901729193365	0.0328783920958044	0.933281740890311	0.949482393730915	0.976611747550451	0.994058576043303	1.01831146116625	1.05794717752293	1.08646041436894
1	Bcell	Stroma	CD4T	747	8511	1.08791174563115	100	0.995424808929945	0.0313141056761937	0.935184632638013	0.939760401663109	0.974586154019957	0.997924212272339	1.01551533142752	1.04165304572535	1.05422804411648
1	Bcell	Treg	CD4T	773	8511	1.07456559933563	97	0.999918696795471	0.037634473223111	0.909944409864212	0.938570363114139	0.97263336285835	1.00009095033894	1.02401650533582	1.0515344814224	1.08997691348749
1	Bcell	Tumor	CD4T	3376	8511	0.901997104002922	0	1.00216247464952	0.0141904226161672	0.972961522929864	0.981134378058505	0.991871584594262	1.00215138454457	1.01300922494277	1.02431726649266	1.03421676534682
1	Bcell	Bcell	CD8T	588	8511	1.69927952968344	100	0.984787012132106	0.0366410669794588	0.912505291117919	0.918522553073906	0.965294310837117	0.984359110963966	1.00938303164231	1.04070561373119	1.0712790010383
1	Bcell	CD4T	CD8T	1056	8511	0.864159341053744	0	0.994327242051536	0.0309578516400884	0.927906297829323	0.948070426378742	0.970875739240437	0.993647832325694	1.01660166989638	1.04201230532736	1.06720706230629
1	Bcell	CD8T	CD8T	1157	8511	0.882889951700368	0	0.98536435085622	0.0258902661735398	0.932907472643487	0.943300589897156	0.970785570974021	0.983731755433255	1.00474200990497	1.02926191793942	1.03710728285216
1	Bcell	Macrophage	CD8T	814	8511	1.09390259896755	99	0.989066994212186	0.0364286437367123	0.902455405595642	0.932899374894935	0.967965276837945	0.988503348829542	1.01104183204001	1.04446288287329	1.06523277617557
1	Bcell	Stroma	CD8T	747	8511	1.03699173663249	97	0.982561043419394	0.0285860122636243	0.92654551425408	0.942090996981367	0.963101556575222	0.977642447784319	1.00281105297692	1.03033918723825	1.0378296098256
1	Bcell	Treg	CD8T	773	8511	1.18931392426775	100	0.983825977639594	0.0361931512201988	0.911259883966953	0.925537088979469	0.958763258423774	0.978160811766838	1.00597744265401	1.04596170645158	1.06411933226631
1	Bcell	Tumor	CD8T	3376	8511	0.853990553696316	0	0.988367092855632	0.0136630890935103	0.96111699796226	0.965732227966831	0.980550022256888	0.987904630955668	0.995697969318791	1.01249708511791	1.0198523641117
