ClusterName	cell2type	Groups	N_ct1	N_all	quant	zscore	mean_ct1	d_mean	d_sd	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
Bcell	Bcell	1	588	8511	0	-9.93768725436433	19.6901127427655	28.9887610602337	0.935695406734045	27.0427469500251	27.4746216533345	28.3040707167415	28.9715289981173	29.5916103644003	30.4882901381075	31.3903374457029
Bcell	Bcell	2	615	8999	1	-2.77911167020596	21.0051037768576	22.7242946478652	0.61861165545758	21.4145297940245	21.704025458906	22.3043953732655	22.7229038478389	23.1329116971538	23.7288380054455	24.2530244790392
CD4T	Bcell	1	1056	8511	0	-6.64292249960993	24.036750938581	28.9172270306983	0.734688097355323	27.3124023075722	27.6697095056632	28.4298226393237	28.9265775416206	29.379013256847	30.1415131384504	30.6150100080716
CD4T	Bcell	2	1491	8999	0	-5.97327717748418	20.5860185950502	22.9942078412611	0.403160471991548	22.1000772090317	22.3399482773554	22.7210498687939	22.9782007831357	23.27290242062	23.6658947271354	23.8504039836162
CD8T	Bcell	1	1157	8511	0	-9.74185353575565	22.4687707042905	29.2531440408286	0.696415041720475	27.7484106431541	28.1183445196619	28.783287075892	29.2137669482245	29.7238854356789	30.4230988555122	30.912224770835
CD8T	Bcell	2	1011	8999	0	-7.58562443969458	19.2051832119453	23.0380945393372	0.505286197314863	21.9053696877554	22.2489725487329	22.6959272448595	23.0420737981043	23.3574380227284	23.8857947574578	24.2163811726328
Macrophage	Bcell	1	814	8511	0	-4.50252897889141	24.9161573328585	28.7072513241731	0.841992135772563	26.8347474295168	27.368492120618	28.0915995432296	28.6864688468124	29.3022049851299	30.0928437159282	30.627204813606
Macrophage	Bcell	2	1072	8999	0	-5.88336601702571	20.0862025484695	22.9685325057498	0.489911718723459	21.7586813886994	22.1710169493197	22.6272263661792	22.9662365986959	23.3058966360087	23.7796054028023	24.1177299252386
Stroma	Bcell	1	747	8511	0	-6.13045037359447	23.5748828270415	28.808478960964	0.853704999630206	26.965805634934	27.4672766951754	28.2255144490065	28.7758264310584	29.3562723958776	30.3072385079505	30.797001302112
Stroma	Bcell	2	871	8999	0	-5.59002610601551	19.9000403221816	22.9282556851936	0.541717570827314	21.6530225084455	22.0721011270142	22.5563335943627	22.9108813043579	23.290497073637	23.8037819222539	24.2550793552281
Treg	Bcell	1	773	8511	0	-5.91260925366029	23.7362412636264	28.801555623232	0.856696957687487	26.7406182640494	27.4473902493209	28.2095397910742	28.7892864751049	29.3743296022429	30.2374270821024	30.7711411281089
Treg	Bcell	2	1000	8999	0	-4.63873891449443	20.5773083564544	22.8738370037673	0.495076073399393	21.7601036181252	22.0819327417068	22.5277257028831	22.8758210112209	23.200355568917	23.6614120207281	23.9990876671789
Tumor	Bcell	1	3376	8511	1000	46.3025946099863	36.1330893084007	23.2080421281274	0.279143043476136	22.5794972939563	22.7387769529467	23.0242749280449	23.2053825791793	23.3895573818784	23.6658681290269	23.8607569124004
Tumor	Bcell	2	2939	8999	1000	32.4496566717138	27.5947522931867	20.2230789635015	0.227172614005222	19.7274368327795	19.860654754416	20.06611688919	20.2090877759295	20.3802383498252	20.5929086823158	20.7968289294889
Bcell	CD4T	1	588	8511	987	2.04704640913082	20.0235420115119	18.9369855602673	0.530792290002823	17.7565027349318	18.0657720052154	18.5584906657437	18.9305033624276	19.30891709189	19.8213481523675	20.0564377017098
Bcell	CD4T	2	615	8999	0	-4.47534714806442	14.1802169734057	16.7158379921101	0.566575269987956	15.5004822025853	15.8012536566056	16.3172979480469	16.7112229128266	17.1104457855229	17.6668512914782	18.0972034012442
CD4T	CD4T	1	1056	8511	0	-9.82625401212724	15.4266945321806	19.5061551380972	0.415159286629666	18.6120405821352	18.8655511859543	19.2063011112746	19.5028667400664	19.7940035742098	20.2004614203106	20.4408832597896
CD4T	CD4T	2	1491	8999	0	-11.5868196727473	13.1513531426559	17.1974955160436	0.349202152761943	16.3783232062647	16.6443232015194	16.9607753151451	17.1817961975948	17.4393112929615	17.7814251467192	18.0087787747136
CD8T	CD4T	1	1157	8511	0	-11.8316146518978	14.9494858737447	19.6367732415326	0.396166331113237	18.7349415737515	18.97993105559	19.3491172649779	19.6494160666116	19.9111184007683	20.249115339578	20.5151539894007
CD8T	CD4T	2	1011	8999	0	-7.20174139979281	13.7040556932143	16.8725540968632	0.439962812846904	15.9042030475782	16.1566334465629	16.5785755164911	16.8659172101033	17.1714026043437	17.6284298197001	17.8892957447675
Macrophage	CD4T	1	814	8511	501	0.0142889478580085	19.0139982220297	19.0076022581734	0.447616152003035	17.9743740850488	18.2800424178402	18.6993726843416	19.0132183073722	19.3040161191208	19.7534365190981	20.0648762167085
Macrophage	CD4T	2	1072	8999	0	-7.84410744520221	13.6652670471283	16.9158233498697	0.414394668284346	16.044430775664	16.246878476841	16.6316393720999	16.9125940978761	17.1909674300414	17.6158936629887	17.9352693109536
Stroma	CD4T	1	747	8511	0	-3.94798297260447	17.1836136142402	19.1835195847981	0.506563980755609	18.0796434019543	18.3710801816493	18.8262944946824	19.1754983552616	19.5149120419349	20.0566260058809	20.4151410221454
Stroma	CD4T	2	871	8999	0	-7.65281839702942	13.3329545066717	16.8702963103191	0.462227328564404	15.8401909976081	16.1355783519024	16.5639936012435	16.8592513714721	17.1684454844251	17.6431764473068	17.9326443284904
Treg	CD4T	1	773	8511	0	-4.36867606865581	17.0835032231193	19.1956431736717	0.483473692569376	18.1227666840354	18.4081082816067	18.8687840452836	19.1894656214992	19.527919100892	20.0059544742393	20.4077332896099
Treg	CD4T	2	1000	8999	0	-8.7679630493063	13.1871785069845	16.9501724826507	0.429175391650841	15.9150290650906	16.2411580416999	16.6711210360667	16.9419865160201	17.2489105262657	17.6607031538248	17.9234214901126
Tumor	CD4T	1	3376	8511	1000	28.1799872394914	22.189653597751	16.9244917918632	0.186840460967604	16.5138732284111	16.6308774573807	16.7995164750809	16.9199639889988	17.0449656703712	17.2379281692929	17.3604481779031
Tumor	CD4T	2	2939	8999	1000	57.5635224333566	22.8588809998902	13.473826557445	0.163038223613062	13.0855457143006	13.1930381449204	13.3664233470957	13.474609180599	13.5870588851742	13.728397928835	13.8638412998449
Bcell	CD8T	1	588	8511	119	-1.17011407681371	18.6134867965106	19.2935608706793	0.581203224236581	18.0079912743647	18.3381759198849	18.9162234742301	19.2753421461831	19.6536405817943	20.2527413840147	20.7172894466953
