ClusterName	cell2type	Spots	Patients	Groups	N_ct1	N_all	quant	zscore	mean_ct1	d_mean	d_sd	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
Bcell	Bcell	1	1	1	219	2327	0	-9.84068923783951	13.3039553001344	20.3357275010436	0.714560944966193	18.8014689778012	19.220700300547	19.8125850073218	20.322434082669	20.8113410263329	21.580478193	21.9995560638081
Bcell	Bcell	2	2	1	154	1859	0	-6.081851540246	17.6852796550239	25.5705783501351	1.29652929587825	22.703607935143	23.4920735421258	24.6814473225776	25.5723004839102	26.3773364448691	27.768620058256	28.7434540495881
Bcell	Bcell	3	3	2	121	1106	643	0.258021883512409	18.0775394610601	17.6099987357291	1.81201965882275	14.1671100467884	14.8810691448876	16.2968761547802	17.4132837517311	18.7263731814552	20.7674985205042	22.7019598152632
Bcell	Bcell	4	4	1	61	1203	1000	5.18177600820544	31.0571497075804	22.9717460934596	1.56035374769528	19.653353165998	20.497527806478	21.9707687976015	22.8969143098315	23.9643564438337	25.6601116172746	26.5727174144688
Bcell	Bcell	5	5	1	130	1410	991	2.39496162553833	21.6351245246269	19.6231699645399	0.840077994834132	17.6432510873773	18.2397151110379	19.0481953275811	19.6132567315959	20.1329059358359	21.0270890731863	21.5686657398261
Bcell	Bcell	6	6	2	95	1773	0	-4.64082205021655	24.3167829652144	33.8515184834704	2.05453590227858	29.3073326122324	30.4731200678868	32.4247257745348	33.8764183554771	35.2851666211988	37.2550878050173	38.7062925138443
Bcell	Bcell	7	7	1	24	1712	332	-0.452588250468936	51.4014456157962	54.6688423760678	7.21935833925465	39.3922261385679	43.1183997807942	49.6488379151259	54.487050518251	59.2113902239606	67.2557928331133	71.5887124299
Bcell	Bcell	8	8	2	141	1906	1000	4.18602249686386	22.6373538167469	18.9061286800943	0.891353340658827	16.9524524056795	17.4754089737793	18.2798604255218	18.9106284434831	19.4883095427953	20.3588883573652	21.0063546663542
Bcell	Bcell	9	9	2	96	2012	662	0.404823790509519	24.3139479567825	23.7921264645058	1.28900895774912	20.8982500054698	21.7326481006698	22.9418630778816	23.7098881176769	24.661761778268	25.9758588200657	26.9539286887634
Bcell	Bcell	10	10	2	162	2202	218	-0.789633668906667	17.8682486066133	18.5338352294442	0.842905576395329	16.7330188392896	17.2248009967936	17.9364410262689	18.4798817636229	19.087557955192	20.0067790793996	20.5904001320047
CD4T	Bcell	1	1	1	229	2327	995	2.71164391464234	21.4024617629031	19.4785209336868	0.709510868601671	17.9208575866925	18.3526757072849	18.9884693681512	19.4700370908747	19.9463897880499	20.6386263327019	21.1828587165684
CD4T	Bcell	2	2	1	285	1859	618	0.284527895022655	25.1398797750267	24.8730264744581	0.937880978409181	22.7741164503993	23.2891193228982	24.2750743421409	24.8883052536153	25.5071018455481	26.439904086787	26.9606026081633
CD4T	Bcell	3	3	2	142	1106	495	-0.0434787218205539	17.5692295116519	17.6399190003468	1.62584100302507	14.4724622638302	15.2066458721173	16.4097940341892	17.5960136164485	18.6318672586691	20.4153431832795	21.9103658980021
CD4T	Bcell	4	4	1	190	1203	495	-0.0414038912477502	23.3701514957614	23.4081104611824	0.916797051606574	21.2125707707036	21.9462264136285	22.8282078481888	23.3793420951956	23.9857881404684	24.8943048345821	25.6208709450098
CD4T	Bcell	5	5	1	270	1410	303	-0.530058105617315	19.5733950636417	19.8911529560919	0.599477470644719	18.5224951465455	18.9469996689261	19.4871222339563	19.8875423665318	20.2835446889341	20.8946895696117	21.3372014213834
CD4T	Bcell	6	6	2	101	1773	0	-6.05423758635829	22.3279754266179	33.8751839688002	1.9072935902286	29.799667006961	30.9366544095799	32.5346742639873	33.8336850521778	35.1143159918603	37.1903449081694	38.4504778177156
CD4T	Bcell	7	7	1	82	1712	1	-2.82493946478698	43.8004153680021	54.746108055298	3.87466451006632	45.5694879647458	48.4332304529432	52.134393685819	54.7381127614054	57.2214378674287	61.139355302875	63.7398357946288
CD4T	Bcell	8	8	2	349	1906	119	-1.1858724575011	18.6319021698684	19.3010040899502	0.564227557398335	18.0503060048526	18.3939862844722	18.930636213356	19.2912878737413	19.6527377637733	20.2240030234923	20.7378707848834
CD4T	Bcell	9	9	2	456	2012	843	0.994555401955426	24.3261784553647	23.7190642844023	0.610437759192399	22.3211362100911	22.7134257695508	23.3468030307262	23.7204180776433	24.116585682078	24.7293483096927	25.1053297368516
CD4T	Bcell	10	10	2	443	2202	817	0.899965312793764	18.845432017035	18.3632728360087	0.535753072004049	17.2367413435353	17.5275099613745	17.9774960885568	18.3361263929565	18.7281835932484	19.2738854003276	19.6078906438399
CD8T	Bcell	1	1	1	367	2327	766	0.698170973472022	19.9813377215023	19.5812332975146	0.573075133728278	18.3036663641533	18.6562187334035	19.1971654584444	19.5691838974225	19.9655480642033	20.5372718215972	20.9273781880322
CD8T	Bcell	2	2	1	339	1859	74	-1.42785471741442	23.8677275304123	25.1114711256423	0.871057524313279	23.1439947121596	23.6810397964178	24.5002735352514	25.1119977446313	25.7093418677435	26.5791711638028	27.1045072128889
CD8T	Bcell	3	3	2	121	1106	127	-1.10279056692123	15.8631471786669	17.9111264006951	1.85708808495314	14.5374527709296	15.2668505534238	16.5988417035234	17.6634589061543	19.0672912040462	21.039608662846	22.852548867868
CD8T	Bcell	4	4	1	183	1203	4	-2.60949339551198	21.2233750859889	23.7771806914159	0.978659539747955	21.4863021005352	22.1748237783284	23.1360071058916	23.7570503767084	24.4609484280073	25.4118102359167	25.9329722183379
CD8T	Bcell	5	5	1	195	1410	9	-2.36270556770651	18.4554479762995	20.0827744894292	0.688755524756046	18.5205708564425	18.990148544216	19.6127609295761	20.0577774769963	20.5641343591578	21.2467954684891	21.6840902913231
CD8T	Bcell	6	6	2	90	1773	0	-5.02829124206528	23.1829236732599	33.5889020541923	2.06948601025312	28.725443231995	30.2488299659132	32.226735765375	33.4899598463672	35.014471462495	36.9848124655869	38.4558489271196
CD8T	Bcell	7	7	1	73	1712	1	-3.12046944174999	42.3200977006664	54.825512366395	4.00754274290073	46.7559989466501	48.51687594348	52.0937609046509	54.6755843854873	57.4405142685149	61.8741359249534	63.8495763579778
CD8T	Bcell	8	8	2	282	1906	6	-2.58538196103039	17.8453322859056	19.4308894652868	0.613277729666423	17.93832346336	18.3851675341332	19.0420655701704	19.4234227115665	19.8489344380919	20.4253756632453	20.8450374044067
CD8T	Bcell	9	9	2	193	2012	224	-0.767239660891088	23.2119257414021	23.8968657230964	0.892732762144765	21.8730218843256	22.4443241460541	23.2816797034347	23.9247532270893	24.5240733677708	25.3391582271098	25.9239374277743
CD8T	Bcell	10	10	2	325	2202	290	-0.598146158884803	18.1484643549189	18.5150570951835	0.612881542110195	17.1635446119977	17.5524311871274	18.0848725389364	18.4693226962944	18.9118774972495	19.5335848835729	20.0995205959274
Macrophage	Bcell	1	1	1	264	2327	1000	10.704696524821	25.5837091544681	18.9355643974484	0.621049344239197	17.57385984331	17.9647265307436	18.4622911785026	18.8990235446247	19.3731079597566	19.982652257757	20.4783875085248
Macrophage	Bcell	2	2	1	225	1859	0	-5.41931210932408	19.7134797897395	25.5549773705235	1.07790388575951	23.2181799332937	23.7881147985488	24.8464707304446	25.5141565275531	26.2998932693471	27.3107507099002	27.998909484134
Macrophage	Bcell	3	3	2	122	1106	669	0.369856481660734	18.3628872712234	17.6626512413931	1.89326418368051	14.1898905513689	14.9210166494429	16.2880559604481	17.5570803378018	18.7941221900612	21.205059300384	23.1716943209892
Macrophage	Bcell	4	4	1	122	1203	390	-0.261054633418826	23.1024423355011	23.405881158985	1.16235754757534	20.6947971418259	21.4879924989248	22.6489496212083	23.4156631130365	24.1868527396807	25.3299999386554	26.130787751706
