cellID	region	XYcellid	X:X	Y:Y	celltypes	efact	cluster
reg1_432_1236	reg1	432__1236	432	1236	CD4T	1	2
reg1_782_392	reg1	782__392	782	392	CD4T	1	6
reg1_823_1455	reg1	823__1455	823	1455	CD4T	1	9
reg1_825_1415	reg1	825__1415	825	1415	CD4T	1	7
reg1_852_566	reg1	852__566	852	566	CD4T	1	7
reg1_855_549	reg1	855__549	855	549	CD4T	1	7
reg1_1013_786	reg1	1013__786	1013	786	CD4T	1	4
reg1_1075_400	reg1	1075__400	1075	400	CD4T	1	4
reg1_1151_1718	reg1	1151__1718	1151	1718	CD4T	1	9
reg1_1351_1557	reg1	1351__1557	1351	1557	CD4T	1	9
reg1_417_1255	reg1	417__1255	417	1255	Treg	1	2
reg1_550_1427	reg1	550__1427	550	1427	Treg	1	5
reg1_567_1304	reg1	567__1304	567	1304	Treg	1	3
reg1_579_1273	reg1	579__1273	579	1273	Treg	1	3
reg1_664_1322	reg1	664__1322	664	1322	Treg	1	6
reg1_699_1168	reg1	699__1168	699	1168	Treg	1	4
reg1_754_417	reg1	754__417	754	417	Treg	1	7
reg1_796_650	reg1	796__650	796	650	Treg	1	4
reg1_822_1437	reg1	822__1437	822	1437	Treg	1	8
reg1_830_560	reg1	830__560	830	560	Treg	1	6
reg1_844_1218	reg1	844__1218	844	1218	Treg	1	9
reg1_886_593	reg1	886__593	886	593	CD8T	1	7
reg1_906_1327	reg1	906__1327	906	1327	CD8T	1	6
reg1_931_1375	reg1	931__1375	931	1375	CD8T	1	6
reg1_978_1713	reg1	978__1713	978	1713	CD8T	1	5
reg1_1046_1674	reg1	1046__1674	1046	1674	CD8T	1	9
reg1_1066_805	reg1	1066__805	1066	805	CD8T	1	10
reg1_1076_1580	reg1	1076__1580	1076	1580	CD8T	1	6
reg1_1087_1698	reg1	1087__1698	1087	1698	CD8T	1	9
reg1_1200_1693	reg1	1200__1693	1200	1693	CD8T	1	9
reg1_1217_1556	reg1	1217__1556	1217	1556	CD8T	1	10
reg1_1228_1627	reg1	1228__1627	1228	1627	CD8T	1	4
reg1_1277_1627	reg1	1277__1627	1277	1627	CD8T	1	6
reg1_1335_1381	reg1	1335__1381	1335	1381	CD8T	1	4
reg1_1380_1460	reg1	1380__1460	1380	1460	CD8T	1	4
reg1_1454_1452	reg1	1454__1452	1454	1452	CD8T	1	6
reg1_1520_1389	reg1	1520__1389	1520	1389	CD8T	1	4
reg1_403_1173	reg1	403__1173	403	1173	Tumor	1	2
reg1_500_1376	reg1	500__1376	500	1376	Tumor	1	5
reg1_504_980	reg1	504__980	504	980	Tumor	1	5
reg1_518_1046	reg1	518__1046	518	1046	Tumor	1	5
reg1_522_910	reg1	522__910	522	910	Tumor	1	5
reg1_629_534	reg1	629__534	629	534	Tumor	1	2
reg1_649_476	reg1	649__476	649	476	Tumor	1	9
reg1_665_1155	reg1	665__1155	665	1155	Tumor	1	9
reg1_670_1072	reg1	670__1072	670	1072	Tumor	1	9
reg1_674_1349	reg1	674__1349	674	1349	Tumor	1	7
reg1_691_1337	reg1	691__1337	691	1337	Tumor	1	5
reg1_724_1269	reg1	724__1269	724	1269	Tumor	1	7
reg1_748_1461	reg1	748__1461	748	1461	Tumor	1	7
reg1_757_1418	reg1	757__1418	757	1418	Tumor	1	7
reg1_760_698	reg1	760__698	760	698	Tumor	1	7
reg1_793_444	reg1	793__444	793	444	Tumor	1	8
reg1_793_491	reg1	793__491	793	491	Tumor	1	1
reg1_800_415	reg1	800__415	800	415	Tumor	1	6
reg1_811_555	reg1	811__555	811	555	Tumor	1	7
reg1_824_491	reg1	824__491	824	491	Tumor	1	9
reg1_825_1048	reg1	825__1048	825	1048	Tumor	1	4
reg1_830_390	reg1	830__390	830	390	Tumor	1	4
reg1_840_1016	reg1	840__1016	840	1016	Tumor	1	6
reg1_847_1546	reg1	847__1546	847	1546	Tumor	1	4
reg1_861_1320	reg1	861__1320	861	1320	Tumor	1	9
reg1_863_385	reg1	863__385	863	385	Tumor	1	6
reg1_934_1524	reg1	934__1524	934	1524	Tumor	1	4
reg1_939_1336	reg1	939__1336	939	1336	Tumor	1	6
reg1_951_503	reg1	951__503	951	503	Tumor	1	4
reg1_955_1532	reg1	955__1532	955	1532	Tumor	1	4
reg1_958_578	reg1	958__578	958	578	Tumor	1	10
reg1_962_1569	reg1	962__1569	962	1569	Tumor	1	4
reg1_975_1423	reg1	975__1423	975	1423	Tumor	1	6
reg1_977_1393	reg1	977__1393	977	1393	Tumor	1	3
reg1_978_700	reg1	978__700	978	700	Tumor	1	6
reg1_985_944	reg1	985__944	985	944	Tumor	1	1
reg1_995_529	reg1	995__529	995	529	Tumor	1	4
reg1_1009_556	reg1	1009__556	1009	556	Tumor	1	10
reg1_1015_912	reg1	1015__912	1015	912	Tumor	1	5
reg1_1016_678	reg1	1016__678	1016	678	Tumor	1	4
reg1_1027_583	reg1	1027__583	1027	583	Tumor	1	4
reg1_1030_550	reg1	1030__550	1030	550	Tumor	1	10
reg1_1047_486	reg1	1047__486	1047	486	Tumor	1	1
reg1_1047_892	reg1	1047__892	1047	892	Tumor	1	5
reg1_1062_601	reg1	1062__601	1062	601	Tumor	1	4
reg1_1092_1485	reg1	1092__1485	1092	1485	Tumor	1	1
reg1_1110_811	reg1	1110__811	1110	811	Tumor	1	9
reg1_1125_792	reg1	1125__792	1125	792	Tumor	1	10
reg1_1132_1622	reg1	1132__1622	1132	1622	Tumor	1	4
reg1_1136_715	reg1	1136__715	1136	715	Tumor	1	4
reg1_1147_557	reg1	1147__557	1147	557	Tumor	1	4
reg1_1192_898	reg1	1192__898	1192	898	Tumor	1	4
reg1_1197_676	reg1	1197__676	1197	676	Tumor	1	4
reg1_1203_1535	reg1	1203__1535	1203	1535	Tumor	1	9
reg1_1226_1608	reg1	1226__1608	1226	1608	Tumor	1	5
reg1_1242_696	reg1	1242__696	1242	696	Tumor	1	9
reg1_1248_1457	reg1	1248__1457	1248	1457	Tumor	1	4
reg1_1259_780	reg1	1259__780	1259	780	Tumor	1	6
reg1_1361_1171	reg1	1361__1171	1361	1171	Tumor	1	1
reg1_1394_1020	reg1	1394__1020	1394	1020	Tumor	1	6
reg1_1402_1570	reg1	1402__1570	1402	1570	Tumor	1	6
reg1_1417_1434	reg1	1417__1434	1417	1434	Tumor	1	6
reg1_1506_1282	reg1	1506__1282	1506	1282	Tumor	1	9
reg1_1554_1357	reg1	1554__1357	1554	1357	Tumor	1	4
reg1_360_932	reg1	360__932	360	932	Macrophage	1	2
reg1_360_1017	reg1	360__1017	360	1017	Macrophage	1	2
reg1_383_1063	reg1	383__1063	383	1063	Macrophage	1	2
reg1_385_980	reg1	385__980	385	980	Macrophage	1	2
reg1_385_1201	reg1	385__1201	385	1201	Macrophage	1	2
reg1_392_1119	reg1	392__1119	392	1119	Macrophage	1	2
reg1_398_775	reg1	398__775	398	775	Macrophage	1	2
reg1_399_1057	reg1	399__1057	399	1057	Macrophage	1	2
reg1_407_904	reg1	407__904	407	904	Macrophage	1	2
reg1_410_882	reg1	410__882	410	882	Macrophage	1	2
reg1_410_1231	reg1	410__1231	410	1231	Macrophage	1	2
reg1_416_1208	reg1	416__1208	416	1208	Macrophage	1	2
reg1_422_1099	reg1	422__1099	422	1099	Macrophage	1	2
reg1_424_1122	reg1	424__1122	424	1122	Macrophage	1	2
reg1_430_1297	reg1	430__1297	430	1297	Macrophage	1	2
reg1_434_1216	reg1	434__1216	434	1216	Macrophage	1	2
reg1_439_1129	reg1	439__1129	439	1129	Macrophage	1	2
reg1_441_1204	reg1	441__1204	441	1204	Macrophage	1	2
